coachID,year,tmID,lgID,stint,won,lost,post_wins,post_losses,total_games,win_pct,post_win_pct,tenure_years,is_new_coach
meadoma99w,9,ATL,WNBA,0,4.0,30.0,0.0,0.0,34.0,0.11764705882352941,0.0,3,1
meadoma99w,10,ATL,WNBA,0,18.0,16.0,0.0,2.0,34.0,0.5294117647058824,0.0,3,0
meadoma99w,11,ATL,WNBA,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0
dunntr01wc,1,CHA,WNBA,0,8.0,24.0,0.0,0.0,32.0,0.25,0.0,1,1
donovan99w,2,CHA,WNBA,0,18.0,14.0,4.0,4.0,32.0,0.5625,0.5,10,1
donovan99w,3,CHA,WNBA,0,18.0,14.0,0.0,2.0,32.0,0.5625,0.0,10,0
laceytr99w,4,CHA,WNBA,0,18.0,16.0,0.0,2.0,34.0,0.5294117647058824,0.0,8,1
laceytr99w,5,CHA,WNBA,0,16.0,18.0,0.0,0.0,34.0,0.47058823529411764,0.0,8,0
boguemu01w,6,CHA,WNBA,2,3.0,7.0,0.0,0.0,10.0,0.3,0.0,2,1
laceytr99w,6,CHA,WNBA,1,3.0,21.0,0.0,0.0,24.0,0.125,0.0,8,1
boguemu01w,7,CHA,WNBA,0,11.0,23.0,0.0,0.0,34.0,0.3235294117647059,0.0,2,1
cowenda01w,7,CHI,WNBA,0,5.0,29.0,0.0,0.0,34.0,0.14705882352941177,0.0,1,1
overtbo99w,8,CHI,WNBA,0,14.0,20.0,0.0,0.0,34.0,0.4117647058823529,0.0,1,1
keyst99wc,9,CHI,WNBA,0,12.0,22.0,0.0,0.0,34.0,0.35294117647058826,0.0,2,1
keyst99wc,10,CHI,WNBA,0,16.0,18.0,0.0,0.0,34.0,0.47058823529411764,0.0,2,0
chatmda99w,11,CHI,WNBA,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
hugheda99w,1,CLE,WNBA,0,17.0,15.0,3.0,3.0,32.0,0.53125,0.5,11,1
hugheda99w,2,CLE,WNBA,0,22.0,10.0,1.0,2.0,32.0,0.6875,0.3333333333333333,11,0
hugheda99w,3,CLE,WNBA,0,10.0,22.0,0.0,0.0,32.0,0.3125,0.0,11,0
hugheda99w,4,CLE,WNBA,0,17.0,17.0,1.0,2.0,34.0,0.5,0.3333333333333333,11,0
thibami99w,4,CON,WNBA,0,18.0,16.0,2.0,2.0,34.0,0.5294117647058824,0.5,8,1
thibami99w,5,CON,WNBA,0,18.0,16.0,5.0,3.0,34.0,0.5294117647058824,0.625,8,0
thibami99w,6,CON,WNBA,0,26.0,8.0,5.0,3.0,34.0,0.7647058823529411,0.625,8,0
thibami99w,7,CON,WNBA,0,26.0,8.0,3.0,2.0,34.0,0.7647058823529411,0.6,8,0
thibami99w,8,CON,WNBA,0,18.0,16.0,1.0,2.0,34.0,0.5294117647058824,0.3333333333333333,8,0
