year,conference,tmID,predicted_wins,rank
1.0,WNBA,HOU,27.0,1.0
1.0,WNBA,SAC,24.0,2.0
1.0,WNBA,PHO,23.0,3.0
1.0,WNBA,LAS,19.0,4.0
1.0,WNBA,ORL,16.0,5.0
1.0,WNBA,IND,15.0,6.0
1.0,WNBA,WAS,14.0,7.0
1.0,WNBA,NYL,14.0,8.0
1.0,WNBA,UTA,10.0,9.0
1.0,WNBA,CHA,10.0,10.0
1.0,WNBA,DET,8.0,11.0
1.0,WNBA,CLE,8.0,12.0
1.0,WNBA,MIN,7.0,13.0
1.0,WNBA,SEA,5.0,14.0
1.0,WNBA,POR,3.0,15.0
1.0,WNBA,MIA,2.0,16.0
2.0,WNBA,LAS,24.0,1.0
2.0,WNBA,NYL,22.0,2.0
2.0,WNBA,SAC,19.0,3.0
2.0,WNBA,CLE,18.0,4.0
2.0,WNBA,HOU,16.0,5.0
2.0,WNBA,MIA,16.0,6.0
2.0,WNBA,SEA,15.0,7.0
2.0,WNBA,IND,13.0,8.0
2.0,WNBA,UTA,13.0,9.0
2.0,WNBA,PHO,12.0,10.0
2.0,WNBA,WAS,10.0,11.0
2.0,WNBA,ORL,10.0,12.0
2.0,WNBA,CHA,8.0,13.0
2.0,WNBA,POR,6.0,14.0
2.0,WNBA,DET,5.0,15.0
2.0,WNBA,MIN,5.0,16.0
3.0,WNBA,CHA,23.0,1.0
3.0,WNBA,LAS,19.0,2.0
3.0,WNBA,HOU,19.0,3.0
3.0,WNBA,ORL,18.0,4.0
3.0,WNBA,IND,18.0,5.0
3.0,WNBA,SEA,18.0,6.0
3.0,WNBA,MIA,17.0,7.0
3.0,WNBA,WAS,17.0,8.0
3.0,WNBA,UTA,15.0,9.0
3.0,WNBA,CLE,14.0,10.0
3.0,WNBA,NYL,13.0,11.0
3.0,WNBA,SAC,12.0,12.0
3.0,WNBA,POR,11.0,13.0
3.0,WNBA,PHO,11.0,14.0
3.0,WNBA,DET,9.0,15.0
3.0,WNBA,MIN,4.0,16.0
4.0,WNBA,HOU,24.0,1.0
4.0,WNBA,LAS,22.0,2.0
4.0,WNBA,SEA,21.0,3.0
4.0,WNBA,NYL,20.0,4.0
4.0,WNBA,IND,19.0,5.0
4.0,WNBA,SAC,18.0,6.0
4.0,WNBA,CON,16.0,7.0
4.0,WNBA,DET,15.0,8.0
4.0,WNBA,WAS,15.0,9.0
4.0,WNBA,PHO,13.0,10.0
4.0,WNBA,CLE,13.0,11.0
4.0,WNBA,CHA,11.0,12.0
4.0,WNBA,MIN,7.0,13.0
4.0,WNBA,SAS,4.0,14.0
5.0,WNBA,SEA,20.0,1.0
5.0,WNBA,SAC,20.0,2.0
5.0,WNBA,CON,20.0,3.0
5.0,WNBA,WAS,19.0,4.0
5.0,WNBA,DET,18.0,5.0
5.0,WNBA,PHO,17.0,6.0
5.0,WNBA,HOU,15.0,7.0
5.0,WNBA,LAS,15.0,8.0
5.0,WNBA,SAS,14.0,9.0
5.0,WNBA,IND,13.0,10.0
5.0,WNBA,NYL,12.0,11.0
5.0,WNBA,CHA,11.0,12.0
5.0,WNBA,MIN,6.0,13.0
6.0,WNBA,HOU,26.0,1.0
6.0,WNBA,CON,22.0,2.0
6.0,WNBA,NYL,21.0,3.0
6.0,WNBA,WAS,16.0,4.0
6.0,WNBA,SEA,15.0,5.0
6.0,WNBA,PHO,15.0,6.0
6.0,WNBA,IND,13.0,7.0
6.0,WNBA,SAC,13.0,8.0
6.0,WNBA,LAS,13.0,9.0
6.0,WNBA,MIN,12.0,10.0
6.0,WNBA,CHA,8.0,11.0
6.0,WNBA,SAS,4.0,12.0
6.0,WNBA,DET,4.0,13.0
7.0,WNBA,CON,27.0,1.0
7.0,WNBA,PHO,22.0,2.0
7.0,WNBA,LAS,22.0,3.0
7.0,WNBA,SAS,20.0,4.0
7.0,WNBA,IND,17.0,5.0
7.0,WNBA,WAS,17.0,6.0
7.0,WNBA,SEA,16.0,7.0
7.0,WNBA,SAC,16.0,8.0
7.0,WNBA,CHI,15.0,9.0
7.0,WNBA,MIN,14.0,10.0
7.0,WNBA,HOU,13.0,11.0
7.0,WNBA,DET,12.0,12.0
7.0,WNBA,NYL,8.0,13.0
7.0,WNBA,CHA,8.0,14.0
8.0,WNBA,PHO,26.0,1.0
8.0,WNBA,SEA,25.0,2.0
8.0,WNBA,CON,22.0,3.0
8.0,WNBA,CHI,19.0,4.0
8.0,WNBA,MIN,16.0,5.0
8.0,WNBA,DET,16.0,6.0
8.0,WNBA,SAS,14.0,7.0
8.0,WNBA,HOU,13.0,8.0
8.0,WNBA,SAC,13.0,9.0
8.0,WNBA,IND,12.0,10.0
8.0,WNBA,NYL,11.0,11.0
8.0,WNBA,WAS,10.0,12.0
8.0,WNBA,LAS,8.0,13.0
9.0,WNBA,SAS,26.0,1.0
9.0,WNBA,DET,24.0,2.0
9.0,WNBA,MIN,23.0,3.0
9.0,WNBA,CHI,22.0,4.0
9.0,WNBA,SEA,20.0,5.0
9.0,WNBA,CON,19.0,6.0
9.0,WNBA,PHO,19.0,7.0
9.0,WNBA,NYL,17.0,8.0
9.0,WNBA,SAC,14.0,9.0
9.0,WNBA,LAS,14.0,10.0
9.0,WNBA,IND,12.0,11.0
9.0,WNBA,HOU,10.0,12.0
9.0,WNBA,ATL,8.0,13.0
9.0,WNBA,WAS,3.0,14.0
