conference,tmID,predicted_wins,predicted_win_pct,rank
WNBA,LAS,22.0,0.6367605547116743,1.0
WNBA,PHO,21.0,0.6271474578272054,2.0
WNBA,SEA,20.0,0.5747794778541643,3.0
WNBA,CON,19.0,0.5442754858913222,4.0
WNBA,SAS,18.0,0.535982221028336,5.0
WNBA,ATL,17.0,0.5084137779754528,6.0
WNBA,IND,17.0,0.4951395572199618,6.0
WNBA,DET,16.0,0.47113035252475566,7.0
WNBA,NYL,16.0,0.4587449853817029,7.0
WNBA,WAS,16.0,0.46682959600730056,7.0
WNBA,CHI,13.0,0.3773145499750742,8.0
WNBA,MIN,13.0,0.39311633141784025,8.0
WNBA,SAC,12.0,0.3502229545107181,9.0
